nome_cliente,email,idade,data_compra,valor_compra,produto_id,ativo,cliente_id
Ana Sophia Novaes,paulopires@yahoo.com.br,,1998-02-26,802343.0,604,False,df565fa1-3d7d-4609-b339-88aaf768a4ee
Cauê Teixeira,alexiada-rocha@teixeira.br,,1943-01-08,25895.0,,True,fd8c67af-ba43-4207-b63a-4cd34ae4c50b
Alexia Gonçalves,silveiravitor-hugo@pereira.br,,2004-09-19,773996.0,,False,aa36ddeb-981a-40d0-967b-6939740d357d
Isis Monteiro,vitor72@ig.com.br,,1964-12-08,713461.0,,False,186b21e1-75ed-4b90-bda1-1dc431161a7d
Luiz Felipe Teixeira,smelo@gomes.net,,,899.58,,True,45af5118-fc90-4def-8b59-99dc75b7b7fe
Henrique Moura,sda-conceicao@alves.com,69,1950-09-09,976448.0,749-H,False,46536414-b2c6-4313-99f2-c7f4ace409de
Guilherme Nogueira,davi-lucasda-cunha@rezende.com,,1980-07-25,943.19,480,False,d1d0f991-e375-4de5-bf2e-ef8456fa6ca6
Lara Jesus,"E-mail ""email_invalido@.com"" inválido",61,2022-03-13,8647.0,891,True,724e6aa5-0a98-412a-9eba-0991edbd0d67
Fernando Da Conceição,"E-mail ""email_invalido@.com"" inválido",49,2017-11-13,21.89,152-V,True,0d738699-5b23-4459-a2a4-eb4941a3e835
Brenda Duarte,da-luzsabrina@freitas.net,,2022-04-10,715.34,251,False,96477060-3e60-4f8f-acfa-48598ed573f7
Gabriel Da Mota,isabelly13@uol.com.br,68,2003-03-01,433741.0,172,True,45cf0156-6297-4de1-baba-85d1e6563512
Juliana Campos,srocha@lopes.org,,1997-08-07,36019.0,888-A,False,cfc21ec9-ee03-4e2d-965c-9092c4a0ac36
Henrique Campos,fariassophie@cavalcanti.org,,1974-12-25,451759.0,742-T,True,f786a476-8db4-4bc7-a8f7-3952678d6f5d
Ana Clara Alves,joana38@da.org,,1995-03-14,774213.0,,True,97e8c0c7-44d6-457e-ad62-4780d26ee0b7
Maria Sophia Ramos,livia45@bol.com.br,,1990-09-03,42319.0,,True,33df9fc9-9a16-4b4e-af91-13c78f4a9592
Matheus Rodrigues,isantos@gmail.com,,,20962.0,,False,40afbfe3-d2f9-417c-98f0-82ea18906b01
Erick Novaes,novaesevelyn@mendes.br,,2022-03-27,813.0,,False,6a0bbb59-1c29-4242-b94d-1fff219152da
Miguel Pires,anthony60@rocha.org,,1986-10-22,23342.0,,True,a98f28bb-abb7-443c-bb11-ca339872eed1
Isabelly Da Rocha,paulo72@silva.br,,,6439.0,,True,aa3f6cab-adde-4a98-bc8d-3448d511b75d
Ana Clara Da Paz,"E-mail ""email_invalido@.com"" inválido",,,527.6,591-D,False,cfdd3fab-69a1-400d-b422-88e165813f68
Vitor Cavalcanti,joao-pedro37@martins.com,,1962-02-06,42376.0,,True,52d48ff6-e674-44ba-be7d-afecb0439297
Lucca Oliveira,isabelcardoso@fernandes.com,64,1994-09-06,4615.0,,True,1dc3bc99-8b6f-464f-8f96-e2b69d0155fd
Luna Correia,pedro-lucascunha@bol.com.br,38,1952-11-13,857.98,163,True,c7ed61df-34c3-44b5-be71-61f9b6fe52e7
Maria Clara Moraes,pedro-lucas41@porto.com,,1975-05-19,5381.0,284,,fb4310be-e0c2-4d85-8968-4e24ab5d5669
Antônio Souza,alana60@da.org,23,1949-04-10,75979.0,588,True,5c3844cb-527f-44fc-8530-e1e5263280aa
Esther Nunes,matheus55@bol.com.br,,,74.58,,,7832aa5d-0c5f-4e43-a3f4-83e0526129d2
Davi Luiz Barbosa,bryancavalcanti@gmail.com,,1994-06-23,56636.0,,True,98745add-e2c0-4d18-a471-88ee9f493276
João Lucas Da Rosa,vianaluiz-miguel@gmail.com,,1950-04-13,71123.0,,False,cad47231-b198-4d10-9862-7d9b4aeeb6c7
Kaique Correia,anthonycunha@da.br,54,1958-04-15,6901.0,643-H,True,2b9d894e-7d1a-48c5-8a17-110ad0cbf194
João Vitor Jesus,caue28@bol.com.br,,,182388.0,,False,5caab0f6-9bf8-4562-bf8d-2b37ce047a77
Henrique Fogaça,samuelmartins@moreira.com,,1969-08-04,1729.0,,,03eb9ab5-c392-4b59-9bfa-3ceee86217b1
Lívia Ramos,marianaaraujo@yahoo.com.br,,2002-07-17,69773.0,,True,2d5803ba-0ae4-4263-851d-7dd308b7076f
Bianca Almeida,"E-mail ""email_invalido@.com"" inválido",,,10069.0,,True,4dae99f7-d350-4b33-bfa6-f4b7cf82086e
Bernardo Castro,pedro-lucas24@moreira.com,,1990-07-03,971.99,806,,4aafc61e-11bd-4ccc-8133-cf215a5239b5
Bárbara Rocha,castroraquel@bol.com.br,,,20666.0,725,False,3aa73032-1277-430e-8721-53de0b042a4b
Letícia Da Luz,rduarte@oliveira.br,,2019-07-28,3185.0,583,False,08e94223-e46c-48d9-96c6-fe933976b33c
Sarah Das Neves,zda-mata@das.br,69,,265521.0,599-O,True,532ca367-665e-4321-b157-46faa61b3091
Larissa Vieira,moraesenzo-gabriel@gmail.com,,1990-12-14,438.85,463,False,8cdca7c4-b5ae-4364-b9cc-d5c660db4215
Lorenzo Melo,"E-mail ""email_invalido@.com"" inválido",26,2018-06-28,77232.0,438,True,076b7379-0507-4793-b6fd-e92aa934fb2c
Nathan Cardoso,"E-mail ""email_invalido@.com"" inválido",,1999-03-30,17751.0,,False,b5f4b0fb-b69b-414b-b9fa-a4127a574054
Alexia Caldeira,"E-mail ""email_invalido@.com"" inválido",59,2000-07-03,692.25,,False,d814625b-7c5d-4bfc-b2c8-50265df71cba
Leonardo Duarte,klima@hotmail.com,,1965-09-07,622.4,632,False,b8f0efe1-0b84-4507-ab70-1dac91783cf3
Stella Moreira,claricecostela@lima.com,24,,3825.0,720,False,4dc580e0-54e6-4110-a4be-20be06f31dce
Vicente Da Costa,gomesgustavo-henrique@bol.com.br,58,1935-01-16,389.15,,True,bd8611dd-90e9-4802-ad96-0a2f18aa04d7
Murilo Da Costa,rafaelada-cunha@da.br,,1998-02-26,97166.0,,True,8b8429ff-360f-4867-a648-0290ae0f14cf
Gabrielly Araújo,marina08@yahoo.com.br,,1951-08-06,1964.0,901,False,63eaa0f0-962d-4ebd-a0b4-7dd69a86d362
Melissa Aragão,"E-mail ""email_invalido@.com"" inválido",67,1996-07-28,89455.0,260,,866737ed-bceb-46ba-9a82-0b3f363a5890
Maria Alice Duarte,hazevedo@hotmail.com,29,,123.47,,False,5a5526b6-5a33-4032-9a59-d6e14d4e856e
Daniela Cardoso,"E-mail ""email_invalido@.com"" inválido",,1970-11-02,33994.0,904,True,d1c650e7-d993-4f73-bd19-960b1cda6efc
Davi Da Costa,zdas-neves@hotmail.com,,1968-01-24,687876.0,,True,800fc935-e2d9-433b-9e71-7d9cec497d07
Brenda Caldeira,thalesmoreira@da.br,,1996-10-31,92392.0,,False,137e7d46-9ef9-48c3-a52f-4385654c3a20
Nicole Ferreira,joaquim09@uol.com.br,,2003-05-07,576.84,300,True,7aa4aa3b-3de1-4d5c-a5d2-b36f49610d10
Guilherme Da Rocha,sda-conceicao@uol.com.br,30,2009-11-25,411884.0,339,True,e86e5f93-1597-4bb6-a8e5-19a57ce93288
Paulo Cardoso,ana-sophia95@teixeira.br,,1939-03-28,6863.0,,False,d79a5bf9-fd75-40d9-9c60-ada8eefbf6ac
João Felipe Jesus,bsantos@fogaca.net,,2011-06-28,635216.0,719-Q,True,2dadfa4e-ad98-4043-8ce3-a61e8a0562fe
Luiz Miguel Castro,vitor-gabriel58@bol.com.br,27,1959-03-27,623188.0,763-Y,True,76939a6b-5e06-4e9b-ad7b-9c51ec57bf6f
Laís Rocha,isadora24@yahoo.com.br,,2002-01-10,302.4,,False,4c25b5d5-5c33-4ff6-8adf-57211acdb899
Lucca Viana,beatriz85@bol.com.br,25,1973-01-12,23622.0,,False,55fd2dfe-c7ee-4e7a-bed5-a4cb3d934eba
Raquel Aragão,"E-mail ""email_invalido@.com"" inválido",54,,62188.0,,False,d958085f-1fd7-4edf-8d05-056ee7381d86
Daniela Costa,pintoisabella@uol.com.br,,,73159.0,868,False,3ebd3369-e9a8-41d4-890d-b6a06821104d
Bianca Nunes,pfarias@hotmail.com,,,855521.0,134,False,42f85f82-cc5d-4efa-af78-b0178b38f2f1
Pedro Henrique Fogaça,uda-mata@goncalves.br,,1975-10-11,36668.0,,,f6f0384f-d4ec-4648-a19a-eea1e6ddbe88
Carlos Eduardo Pires,"E-mail ""email_invalido@.com"" inválido",46,2003-06-24,364.38,490,False,e540eec3-1716-4585-b825-a33cc12e6167
Joana Silveira,costacaio@duarte.net,,2005-09-13,432.15,,False,04d9491d-a066-4f83-b8b8-96468f608ea3
Fernanda Da Cunha,fda-luz@gmail.com,,1966-03-08,189016.0,,True,897aca7f-908b-418e-96aa-14748f3b1daf
Pedro Miguel Costa,pirescaue@almeida.com,,1937-08-15,867642.0,,False,62862bc8-6175-4ff0-8bb1-4a41466ecd0b
Enrico Cunha,alvesjoaquim@duarte.br,48,1982-10-16,21968.0,,False,d979db86-1e1a-4ceb-ba90-93385ace5ebd
Ana Clara Moura,sdas-neves@da.com,,1989-02-04,622.97,,,5144a54a-95d6-4248-87da-4e88d5bbce45
Eduardo Correia,matheus93@dias.com,55,,33836.0,,False,a40762f0-dd66-44af-a232-1cd4476c677f
Murilo Novaes,diogofernandes@almeida.com,,2018-10-25,20837.0,656,True,46bf61bd-556c-4bb6-b26e-93a47ee0e08c
Renan Rezende,moreirayago@hotmail.com,59,2016-04-09,535326.0,,True,ca869480-6675-43a7-abd8-81a2b099debf
Kamilly Jesus,pintoemilly@hotmail.com,36,1995-08-04,70928.0,,False,10d69f88-2163-4360-81e2-54c21108cf80
Natália Da Luz,"E-mail ""email_invalido@.com"" inválido",,1969-03-11,158.63,785-Z,True,9730bd6c-b1d2-4bf9-aeac-ff1a552b068a
Agatha Alves,cnovaes@bol.com.br,,,2756.0,109-Z,True,7f694633-683e-45ec-96ad-651bb9d1e0f5
Maria Clara Mendes,augustomoraes@da.com,49,1960-04-07,7174.0,156-F,True,4809c808-ede1-457a-8136-f2965c293d34
Juliana Da Rocha,diogo28@carvalho.org,,,289.88,821,False,30d69015-ecd9-4aa3-b450-25559838bf7b
Laís Farias,esthercostela@da.com,,,566.6,207,,f4f2377e-cb68-46bd-b7fa-10df42e40a62
Rodrigo Moura,oda-cunha@mendes.net,,1940-08-30,224.99,,True,7ae2ba71-9cb9-4437-829a-9b2587187561
Juliana Barbosa,rodriguesmiguel@yahoo.com.br,,1947-03-10,77831.0,835-U,False,92ac7fba-5a1a-450a-9f4b-625074b83ba4
Gabrielly Viana,joao-gabrielda-rocha@rezende.br,,1953-11-21,24387.0,,,f5e6b64a-bb95-4453-b36b-519435762d12
Anthony Alves,"E-mail ""email_invalido@.com"" inválido",,,41887.0,678,True,94b74d74-dd4f-4f73-9ce7-e2115d1c117c
Igor Alves,vda-cruz@pinto.br,,1990-05-22,756757.0,514,,c4d03d7a-10a0-41db-af5f-70865ac629d9
Esther Das Neves,luiz-gustavogoncalves@lopes.br,,2003-06-27,164.76,,,765d9db2-910a-44b1-84eb-dc259ad5f5c1
Bryan Novaes,lucas-gabrielsales@uol.com.br,25,,832.9,956,False,b16a1b48-4b1a-4220-b39b-14b5b0080dcf
Rafael Alves,vsales@hotmail.com,,1953-07-16,81061.0,,False,b73bab1a-fa7a-4e64-b915-8de960040292
Benício Melo,antoniodas-neves@da.org,65,1972-07-21,43322.0,613,True,85c2146e-8bd8-4608-9fa5-1c8729fea475
Maysa Costa,ana-vitoria16@cardoso.com,,1979-05-15,77151.0,481,False,ea7c6c4b-3cb7-4c62-8452-53f8509b66f4
Ana Clara Teixeira,barbara96@souza.net,,1975-11-08,718.68,,False,c8f2c995-735c-4328-abd5-16b15bd81d8d
Alícia Campos,azevedoeduardo@yahoo.com.br,,1968-02-14,38447.0,330,False,2ba6416b-db6a-459c-8834-d2f401818a56
Davi Luiz Carvalho,arthur30@uol.com.br,,,74114.0,933,True,68181675-f13e-42c0-b070-c5bb62e4f1b6
Enrico Gonçalves,mouraelisa@silva.com,,1967-03-30,940.63,114-Y,False,812b2219-08d8-49e7-9090-f0f3dca56a9a
Clara Gomes,da-cunhamarcela@uol.com.br,,1936-04-23,826.85,360-A,False,aefe6557-2e38-4a48-9143-86e4c166abbd
Maitê Da Mota,pda-costa@castro.net,,1978-10-21,506865.0,,False,20262bfc-68c5-4218-a4bf-ea3384c5e367
Ana Lívia Ribeiro,gfogaca@uol.com.br,21,1968-02-25,282295.0,449,True,61fc23fa-1425-48bb-8816-64cdcb0e5018
Maria Fernanda Campos,ycorreia@peixoto.com,,2003-03-29,94966.0,,,a21277ff-bd00-4a17-be19-b350f5f211c0
Clarice Da Cruz,freitashelena@nogueira.br,,,171.28,536,True,d6c3d779-1bf7-4f0d-aa79-68939210483d
Júlia Nunes,almeidaguilherme@hotmail.com,,,365.3,157-Y,True,1d7f4be5-3a7e-4bcf-bda9-cd36cb80a9fe
Renan Sales,amanda75@gmail.com,,1945-01-06,740041.0,958-U,False,31d386ef-f439-4d72-a1be-915db8a5d120
Maitê Dias,adas-neves@bol.com.br,,1938-03-31,93483.0,,False,d2721c1b-449b-4218-b5ab-7fece35c7630
Rodrigo Da Rosa,da-matarafaela@rocha.net,,2007-04-04,7807.0,,True,6eef667a-d135-4135-9c94-eac82fa6244b
Matheus Dias,carvalhokevin@dias.com,,1973-10-06,86255.0,771-A,,bc9a045e-dcd7-47fb-a12d-b0eb02c78d52
Fernanda Da Cruz,stella97@hotmail.com,70,,95794.0,906,False,a01eb202-8b42-490a-b416-a8a0d6007c6a
Antônio Melo,isabelly45@bol.com.br,,2005-10-24,983736.0,,True,fa51c169-b7f7-441b-b5c9-9ea065f74895
João Gabriel Cavalcanti,alexianunes@da.org,53,1982-02-27,909.75,,False,f06dbf2b-1b12-45d1-9b2b-4692e1f09c08
Lívia Mendes,da-luzelisa@melo.org,,,235512.0,,True,3489490c-c24a-4bdc-a883-696eda416434
Laura Da Mata,wmelo@ribeiro.com,,,46589.0,242,False,ece8663e-27ca-47ea-bb87-2edb770402c2
Pietra Moreira,amandaazevedo@porto.com,,1936-05-11,37935.0,783,True,68f5356d-ad7f-47a6-a839-f9ca5c9ebe8a
Lucas Moura,nathan98@moraes.com,,2021-03-08,977718.0,,True,5a5cc462-5690-4ba2-8d37-7688213eb99c
Sarah Gonçalves,ramosbernardo@farias.org,,1994-03-14,380.2,970,True,173f7cf8-91f6-43f7-9f7f-f57aa3941ba3
Luiz Gustavo Campos,jpinto@aragao.org,,,222074.0,335,True,699e79d0-9e1f-47c2-8172-cf84f24c148b
Clara Caldeira,moraesnicolas@yahoo.com.br,34,,268366.0,788,True,33b1e460-727f-4ae6-bb55-fbeb1b54fdbd
Carlos Eduardo Da Rosa,maria-eduarda64@das.org,,,448225.0,,True,3f4860fd-515d-45f7-ba16-2834a0b3e5f0
Enzo Gabriel Moraes,hsantos@gmail.com,37,2000-09-02,40.13,123-Q,False,848bc488-da9d-4842-815b-d0154a128e21
Maria Eduarda Cardoso,da-cruzgabriela@carvalho.com,,,485.98,,False,6adfe344-e0dc-412f-990a-660f21123561
Júlia Melo,kdias@yahoo.com.br,,1978-04-18,783.42,907,False,36c50ee5-85cc-487c-8c9a-2fc547d3d9dd
Sophia Aragão,rodrigosilveira@costela.net,50,1980-08-19,80.3,,False,ce951536-ebcb-45c2-8c17-3bc4f1d9e779
Calebe Gonçalves,qpires@oliveira.com,65,1990-03-07,64.71,,True,e0641077-bb9b-4962-af66-af3fd66f13a7
Raul Lopes,samuelvieira@peixoto.br,,2004-07-19,946.77,283-G,False,3ef95356-0ab2-4ef0-988d-45f509947043
Lucca Nunes,ada-mota@hotmail.com,,2022-03-18,94752.0,,True,c8054c79-0f0a-4cc7-a8bc-19f0cf7d0d70
Igor Lopes,sarahnogueira@da.com,,,3490.0,,False,675d71a1-c9a2-4605-a159-9d6d08e6e8b0
Luiz Miguel Mendes,nunesmaria-eduarda@da.org,,2014-05-10,38497.0,943,False,64432a6d-e705-4872-b735-d548be78918b
Maria Fogaça,acorreia@gmail.com,43,1997-01-20,40527.0,443-X,False,a8225bbf-43c4-4aeb-af9b-d763e310e1a1
Mariane Moreira,jesuspedro-miguel@yahoo.com.br,,,129.3,328-B,False,bd165f67-7cac-49f0-87d5-8ee15f1f1f5e
Caroline Lopes,emanuella80@yahoo.com.br,,2001-02-25,992.19,,True,113fda06-32dd-4840-a545-8a161bc2c472
Ana Clara Da Rosa,pietromelo@novaes.org,,,9614.0,593,True,ccdc3ab5-b4b9-4350-932f-d24cceab1230
Alícia Monteiro,hgoncalves@duarte.org,40,1993-01-06,751.63,207-R,True,3cf04ff0-4d58-4e5f-b96c-94dae6441192
Lucas Gabriel Dias,luna63@yahoo.com.br,,1983-04-06,50758.0,,True,4f1cfc1a-db77-4157-b24c-97669eb2612d
Júlia Nogueira,salesfernando@yahoo.com.br,48,,26258.0,,False,6adeb0de-0ece-42c9-9009-723cd6806373
Bianca Peixoto,gustavo-henriquevieira@ig.com.br,,1952-11-21,671258.0,784,False,127e1c4b-4e97-4d71-bc09-af5b133dd8e0
Antônio Campos,"E-mail ""email_invalido@.com"" inválido",52,,951971.0,170-Q,,37ee6b16-5195-46c2-bae3-6f0cea301a5c
Pedro Freitas,bruno31@uol.com.br,,1937-11-27,47676.0,,True,11005f78-5943-4b76-9742-6f0ea5263bfe
Otávio Rocha,"E-mail ""email_invalido@.com"" inválido",,1977-04-23,993381.0,229,False,fe0d6933-3dc4-4aec-911f-503dddf93cec
Isaac Da Cruz,"E-mail ""email_invalido@.com"" inválido",34,1945-07-21,356488.0,,False,e6e5941d-e3c4-4623-beae-bc1e98911cd3
Lavínia Rocha,sophia84@martins.com,,1976-01-22,75979.0,,True,0371d149-ca4d-4d45-af46-96a9e637b99c
Cauê Novaes,novaesthales@souza.br,,2017-07-24,835.0,285,True,d71464bd-3240-47dc-911c-c13491277139
João Felipe Monteiro,gustavo-henrique48@gmail.com,50,1954-10-08,55129.0,435-V,False,5153e993-1bf9-4904-8120-ab5b591dd264
Davi Luiz Barros,mrodrigues@azevedo.com,,1959-06-14,81700.0,211,True,ef353cc7-a37e-4e4d-b612-ed354f5b91e7
Daniela Almeida,kaique99@silva.br,70,,169468.0,510-C,True,deb91685-1bef-4ce1-8629-b218e78e2ec9
Enzo Gabriel Freitas,vicentecastro@yahoo.com.br,45,1975-05-03,45275.0,,True,73b879c5-7481-42a9-804b-037d53393b03
Alexia Azevedo,ribeiromarina@castro.br,64,2012-12-15,167848.0,,True,3766d186-47ff-4da1-8e5d-5d51c9c5a85a
Esther Da Rocha,"E-mail ""email_invalido@.com"" inválido",,1963-07-01,92.11,511,False,c6bfc349-6420-47f5-a349-ca2d0488d0bf
Juliana Das Neves,ida-cunha@rocha.org,,,99455.0,391-S,False,e484a2dc-cfb4-42e9-82db-c333753bd007
Guilherme Vieira,ana-juliacostela@ribeiro.org,,1946-10-19,201.3,636-B,True,df33ce91-f073-4558-99c0-f344f585a75c
Nicole Rocha,rodriguesmiguel@ig.com.br,,1953-02-03,250.29,475-T,False,251fd8e2-dbe0-4b07-9bc3-0250cef99593
Fernanda Farias,isabellaazevedo@ig.com.br,,,231998.0,,False,30cbfeaf-a100-4456-9c39-d38930e506a0
Fernando Lima,gmendes@yahoo.com.br,57,2003-04-06,694.87,,True,822ab895-0c1c-4a6f-b4f3-886a127652e1
Vitor Vieira,isaacfernandes@cavalcanti.org,,1946-11-04,27315.0,,True,6ee17952-7a1d-4fef-8cf4-6fce5d1c5daf
Guilherme Da Conceição,joao-pedro80@moraes.br,,1965-08-07,35033.0,,False,ac424b78-8adc-4b17-a547-9f22e33bd57c
Henrique Campos,camposjoana@ig.com.br,,1935-04-21,110152.0,220,True,bbcae6a8-7747-4b63-b2e1-acb5f6517cd2
Maria Sophia Peixoto,marianeribeiro@bol.com.br,,2018-05-01,589584.0,,True,d0843e24-6899-495a-85d6-981a03be70a5
Luiz Gustavo Da Costa,cardosomaria-clara@uol.com.br,,1993-11-08,37228.0,508,False,7a4638ea-d8e7-4de8-a954-2ab9ef3a5f78
João Pedro Carvalho,murilocardoso@oliveira.com,62,1967-01-19,593.16,483-B,False,40b262b6-1973-4f92-a943-8964a944ad6f
Ana Laura Pires,nataliaaragao@yahoo.com.br,68,1940-10-05,578.24,,False,49a212b9-0ab4-48f6-8138-7e487edc7cad
Matheus Duarte,csales@costa.br,,2003-09-11,107.32,510-B,False,ec97264f-4ff6-4624-adb7-fbb630987b57
Emilly Moura,pedro38@da.net,,2014-01-10,534.77,148,True,49273757-1066-4ddd-823c-66d9c31ea883
Igor Costa,lmendes@uol.com.br,,1971-09-21,60283.0,,,b5e2f6ad-bcf5-406c-963c-124867ae8105
Valentina Gonçalves,moraeslavinia@da.br,,1982-08-30,238966.0,383,True,2357e67b-0b01-481c-b9db-a05e30efae5b
Samuel Novaes,agathapereira@hotmail.com,,1942-02-23,978.5,,True,29bdb70e-9f73-4383-a82d-52b72464a043
Caio Monteiro,yferreira@bol.com.br,,1988-05-27,571.0,494-R,False,07457937-3f89-4849-85b0-7f00493777d8
Calebe Pinto,nunesmirella@ig.com.br,,2001-08-05,418.55,443,True,3beec6b9-3ee0-4759-9f88-0772aaa5a543
Elisa Rezende,isabellyaraujo@yahoo.com.br,,1986-08-22,55085.0,,True,85989308-4e39-4d7b-b47a-42f3e72e379e
Maria Fernanda Teixeira,sophiasilveira@uol.com.br,,,774699.0,724,True,01499197-46f7-4956-8f5d-c2507c598390
Breno Da Mata,brenda26@bol.com.br,,1969-04-13,638949.0,588,True,15f24ac6-dab7-4950-bb0a-ccb6bc51a627
Samuel Lima,da-matafernanda@monteiro.com,,,685.79,,False,b20b2925-3779-481f-8e69-dbf49b799718
Heitor Caldeira,livia27@hotmail.com,32,1994-05-31,870.43,,True,4ee14c0f-5669-4e1d-9614-cb6e42f966a0
Bárbara Melo,da-luzisabelly@da.org,34,1938-05-01,956968.0,911-B,False,27669c8e-3a82-4c18-ac01-135367d37918
Luiza Araújo,larissadas-neves@da.br,,,19518.0,334,False,7355f026-1fbc-4f17-b63a-9bf0154a3b1b
Lorenzo Melo,fernandarodrigues@freitas.org,26,1983-06-07,72713.0,312-P,False,859db4cf-42bb-48c2-91fd-b1a9ae6c6ae2
Benício Monteiro,sabrinarezende@bol.com.br,,1982-08-18,721.7,475-P,True,0fd43982-b1e5-4bc9-aa7a-2af65d912601
Laís Ribeiro,fernandoalmeida@alves.net,70,1971-08-06,412.33,,True,aea8c954-5532-44f2-b238-8538a0ae268e
Thales Costela,"E-mail ""email_invalido@.com"" inválido",,,713.31,622-A,True,61492395-36ce-4587-907b-6a6eb7137166
Davi Luiz Cardoso,tporto@gmail.com,,1988-07-16,54565.0,,False,335c32b6-07f9-47e2-8239-b5fed6f4eb06
Kevin Pereira,moraeslorenzo@ig.com.br,,2001-06-23,50986.0,412-C,True,0a9a6221-df60-401f-ad1d-3e13a8e209db
Ana Lívia Monteiro,cavalcantiheloisa@gmail.com,21,1947-10-03,3786.0,,True,3f03cab8-38db-4d52-8a2c-375463da2244
Bryan Pinto,"E-mail ""email_invalido@.com"" inválido",35,1989-01-20,82829.0,604,True,017cf2c5-756b-456e-ab6f-05686fd8b9d8
Igor Da Mata,moraesheitor@teixeira.br,,1996-03-03,372.43,752,,3990d1a6-8773-4e7a-b766-9c486f9760dc
Maria Fernanda Lima,goncalvesotavio@hotmail.com,18,,54954.0,,True,0dc5db24-264a-464a-868d-e47ebe28bbb8
Marcos Vinicius Viana,joliveira@gmail.com,,,536.2,,True,bd8757ec-a972-4143-9fbf-20c2b8bd1d9c
Luiz Gustavo Santos,da-matarafaela@yahoo.com.br,,1946-06-25,99681.0,242-J,True,fa37d76b-3f1d-4c68-b3a9-d5f0f6356faf
Isaac Mendes,zda-mota@rodrigues.com,20,1980-09-02,585.55,,False,54062eae-221e-407f-9983-ba2f68e854e5
Diego Mendes,ana-luiza44@souza.br,,,149562.0,,False,7d916537-00ba-4451-9e0e-7ef49ac7c172
Benício Sales,otavioporto@da.br,,1970-08-20,62188.0,,True,acdf100a-e9f0-468d-bdc9-19c88b3a33f9
Eloah Campos,osouza@ribeiro.com,,2015-06-22,307.78,,,5f657b8a-a8ae-4693-a4fc-40caca585c3e
Amanda Gomes,bruna82@das.com,51,1990-02-24,21063.0,456,,fb028e3f-21f4-430a-9ff0-c826dee8b7f0
Erick Da Cunha,isis76@uol.com.br,,1992-11-19,34367.0,,False,7d973e5b-64e4-40f6-b5b3-d46904b346b8
Benício Barros,da-cruzmelissa@rocha.net,,1953-01-25,532.44,378-C,True,2b998195-1cb5-4c88-94f4-7ab02fbbcc45
Maria Alice Porto,alvesmaria-eduarda@bol.com.br,,1936-01-23,13619.0,,True,416c1dd9-f0c5-4552-a127-6e226c7d08ac
Kevin Castro,luiz-otaviofogaca@santos.org,43,1973-10-02,948.5,136-W,True,75033078-b4a6-425d-9b03-2883667d17fc
Gabriel Castro,enricosilveira@lima.br,27,1992-11-29,75344.0,,,dac03e42-f8be-4746-973b-3ed51bb73cdd
Melissa Peixoto,souzaleandro@yahoo.com.br,,,43249.0,,False,733ca564-074c-4b6b-a8d5-275314ba1ff3
Raquel Pinto,naraujo@bol.com.br,,1986-09-24,798812.0,,True,689a04b1-21ad-4c06-91a9-3bf7d1d5bb15
Maria Cecília Moreira,"E-mail ""email_invalido@.com"" inválido",,,36386.0,474-E,False,04455cbf-db65-406b-9362-0c1057dd384e
