nome_cliente,email,idade,data_compra,valor_compra,produto_id,ativo
KAMILLY JESUS,pintoemilly@hotmail.com,36,1995-08-04,R$ 709.28,,0
Natália da Luz,email_invalido@.com,,11/03/1969,"158,63",785-Z,sim
SRA. AGATHA ALVES,cnovaes@bol.com.br,,31-02-2023,R$ 27.56,109-Z,sim
SRA. MARIA CLARA MENDES,augustomoraes@da.com,49,1960/04/07,R$ 71.74,156-F,1
Juliana da Rocha,diogo28@carvalho.org,,31-02-2023,"289,88",821,false
LAÍS FARIAS,esthercostela@da.com,,31-02-2023,"566,6",207,
Rodrigo Moura,oda-cunha@mendes.net,,1940/08/30,"224,99",null,true
Juliana Barbosa,rodriguesmiguel@yahoo.com.br,,1947/03/10,R$ 778.31,835-U,false
Gabrielly Viana,joao-gabrielda-rocha@rezende.br,,21/11/1953,R$ 243.87,,
anthony alves,email_invalido@.com,,31-02-2023,R$ 418.87,678,true
IGOR ALVES,vda-cruz@pinto.br,,1990/05/22,7567.57,514,
Esther das Neves,luiz-gustavogoncalves@lopes.br,,2003/06/27,"164,76",null,
Bryan Novaes,lucas-gabrielsales@uol.com.br,25,31-02-2023,"832,9",956,no
rafael alves,vsales@hotmail.com,,1953/07/16,R$ 810.61,null,no
BENÍCIO MELO,antoniodas-neves@da.org,65,1972-07-21,R$ 433.22,613,1
sra. maysa costa,ana-vitoria16@cardoso.com,,1979/05/15,R$ 771.51,481,no
Ana Clara Teixeira,barbara96@souza.net,,1975-11-08,"718,68",null,false
ALÍCIA CAMPOS,azevedoeduardo@yahoo.com.br,,1968/02/14,R$ 384.47,330,0
Davi Luiz Carvalho,arthur30@uol.com.br,,31-02-2023,R$ 741.14,933,yes
enrico gonçalves,mouraelisa@silva.com,,1967/03/30,"940,63",114-Y,0
CLARA GOMES,da-cunhamarcela@uol.com.br,,23/04/1936,"826,85",360-A,no
MAITÊ DA MOTA,pda-costa@castro.net,,21/10/1978,5068.65,null,false
ana lívia ribeiro,gfogaca@uol.com.br,21,1968/02/25,2822.95,449,yes
maria fernanda campos,ycorreia@peixoto.com,,2003-03-29,R$ 949.66,,
Sra. Clarice Da Cruz,freitashelena@nogueira.br,,31-02-2023,"171,28",536,true
Júlia Nunes,almeidaguilherme@hotmail.com,,31-02-2023,"365,3",157-Y,sim
RENAN SALES,amanda75@gmail.com,,06/01/1945,7400.41,958-U,não
Maitê Dias,adas-neves@bol.com.br,,31/03/1938,R$ 934.83,null,no
rodrigo da rosa,da-matarafaela@rocha.net,,2007/04/04,R$ 780.7,null,sim
MATHEUS DIAS,carvalhokevin@dias.com,,1973/10/06,R$ 862.55,771-A,
Srta. Fernanda da Cruz,stella97@hotmail.com,70,31-02-2023,9579.4,906,no
antônio melo,isabelly45@bol.com.br,,24/10/2005,9837.36,,sim
joão gabriel cavalcanti,alexianunes@da.org,53,1982-02-27,"909,75",,no
LÍVIA MENDES,da-luzelisa@melo.org,,31-02-2023,2355.12,null,yes
laura da mata,wmelo@ribeiro.com,,31-02-2023,4658.9,242,0
Pietra Moreira,amandaazevedo@porto.com,,1936/05/11,R$ 379.35,783,sim
lucas moura,nathan98@moraes.com,,2021-03-08,9777.18,,sim
sarah gonçalves,ramosbernardo@farias.org,,1994-03-14,"380,2",970,1
dr. luiz gustavo campos,jpinto@aragao.org,,31-02-2023,2220.74,335,true
CLARA CALDEIRA,moraesnicolas@yahoo.com.br,34,31-02-2023,2683.66,788,yes
Carlos Eduardo da Rosa,maria-eduarda64@das.org,,31-02-2023,4482.25,null,yes
SR. ENZO GABRIEL MORAES,hsantos@gmail.com,37,02/09/2000,"40,13",123-Q,não
maria eduarda cardoso,da-cruzgabriela@carvalho.com,,31-02-2023,"485,98",,0
Júlia Melo,kdias@yahoo.com.br,,1978/04/18,"783,42",907,no
sophia aragão,rodrigosilveira@costela.net,50,19/08/1980,"80,30",null,false
Calebe Gonçalves,qpires@oliveira.com,65,1990-03-07,"64,71",,true
Raul Lopes,samuelvieira@peixoto.br,,2004-07-19,"946,77",283-G,no
LUCCA NUNES,ada-mota@hotmail.com,,2022-03-18,R$ 947.52,,true
Igor Lopes,sarahnogueira@da.com,,31-02-2023,R$ 349.0,,false
Sr. Luiz Miguel Mendes,nunesmaria-eduarda@da.org,,2014-05-10,R$ 384.97,943,false
maria fogaça,acorreia@gmail.com,43,20/01/1997,4052.7,443-X,não
Mariane Moreira,jesuspedro-miguel@yahoo.com.br,,31-02-2023,"129,30",328-B,0
Caroline Lopes,emanuella80@yahoo.com.br,,2001/02/25,"992,19",,1
Ana Clara Da Rosa,pietromelo@novaes.org,,31-02-2023,R$ 961.4,593,yes
ALÍCIA MONTEIRO,hgoncalves@duarte.org,40,1993-01-06,"751,63",207-R,1
DR. LUCAS GABRIEL DIAS,luna63@yahoo.com.br,,06/04/1983,507.58,null,sim
JÚLIA NOGUEIRA,salesfernando@yahoo.com.br,48,31-02-2023,R$ 262.58,null,não
Bianca Peixoto,gustavo-henriquevieira@ig.com.br,,1952/11/21,6712.58,784,0
antônio campos,email_invalido@.com,52,31-02-2023,9519.71,170-Q,
PEDRO FREITAS,bruno31@uol.com.br,,27/11/1937,R$ 476.76,null,yes
Otávio Rocha,email_invalido@.com,,1977-04-23,9933.81,229,no
isaac da cruz,email_invalido@.com,34,21/07/1945,3564.88,,0
LAVÍNIA ROCHA,sophia84@martins.com,,1976-01-22,R$ 759.79,,sim
Cauê Novaes,novaesthales@souza.br,,2017-07-24,R$ 83.5,285,1
João Felipe Monteiro,gustavo-henrique48@gmail.com,50,1954/10/08,R$ 551.29,435-V,0
DAVI LUIZ BARROS,mrodrigues@azevedo.com,,1959/06/14,8170.0,211,1
Sra. Daniela Almeida,kaique99@silva.br,70,31-02-2023,1694.68,510-C,1
Enzo Gabriel Freitas,vicentecastro@yahoo.com.br,45,1975-05-03,R$ 452.75,null,sim
ALEXIA AZEVEDO,ribeiromarina@castro.br,64,2012-12-15,1678.48,,1
ESTHER DA ROCHA,email_invalido@.com,,01/07/1963,"92,11",511,não
Juliana Das Neves,ida-cunha@rocha.org,,31-02-2023,R$ 994.55,391-S,no
Guilherme Vieira,ana-juliacostela@ribeiro.org,,1946/10/19,"201,3",636-B,true
Nicole Rocha,rodriguesmiguel@ig.com.br,,03/02/1953,"250,29",475-T,no
fernanda farias,isabellaazevedo@ig.com.br,,31-02-2023,2319.98,,false
Dr. Fernando Lima,gmendes@yahoo.com.br,57,2003/04/06,"694,87",null,yes
vitor vieira,isaacfernandes@cavalcanti.org,,04/11/1946,R$ 273.15,null,1
Guilherme da Conceição,joao-pedro80@moraes.br,,1965/08/07,R$ 350.33,null,false
Henrique Campos,camposjoana@ig.com.br,,21/04/1935,1101.52,220,1
MARIA SOPHIA PEIXOTO,marianeribeiro@bol.com.br,,2018-05-01,5895.84,null,yes
Luiz Gustavo da Costa,cardosomaria-clara@uol.com.br,,1993/11/08,R$ 372.28,508,0
joão pedro carvalho,murilocardoso@oliveira.com,62,1967/01/19,"593,16",483-B,0
Ana Laura Pires,nataliaaragao@yahoo.com.br,68,1940/10/05,"578,24",,no
Matheus Duarte,csales@costa.br,,2003/09/11,"107,32",510-B,0
Emilly Moura,pedro38@da.net,,2014-01-10,"534,77",148,yes
Igor Costa,lmendes@uol.com.br,,21/09/1971,R$ 602.83,,
Valentina Gonçalves,moraeslavinia@da.br,,1982/08/30,2389.66,383,yes
SAMUEL NOVAES,agathapereira@hotmail.com,,1942/02/23,"978,5",null,yes
CAIO MONTEIRO,yferreira@bol.com.br,,27/05/1988,"571,0",494-R,0
Calebe Pinto,nunesmirella@ig.com.br,,2001/08/05,"418,55",443,yes
Elisa Rezende,isabellyaraujo@yahoo.com.br,,22/08/1986,R$ 550.85,,1
Maria Fernanda Teixeira,sophiasilveira@uol.com.br,,31-02-2023,7746.99,724,yes
Sr. Breno da Mata,brenda26@bol.com.br,,1969/04/13,6389.49,588,1
samuel lima,da-matafernanda@monteiro.com,,31-02-2023,"685,79",null,no
HEITOR CALDEIRA,livia27@hotmail.com,32,1994-05-31,"870,43",null,sim
Bárbara Melo,da-luzisabelly@da.org,34,1938/05/01,9569.68,911-B,não
Luiza Araújo,larissadas-neves@da.br,,31-02-2023,R$ 195.18,334,false
Sr. Lorenzo Melo,fernandarodrigues@freitas.org,26,07/06/1983,R$ 727.13,312-P,false
benício monteiro,sabrinarezende@bol.com.br,,1982/08/18,"721,70",475-P,true
LAÍS RIBEIRO,fernandoalmeida@alves.net,70,1971/08/06,"412,33",,true
Thales Costela,email_invalido@.com,,31-02-2023,"713,31",622-A,true
Davi Luiz Cardoso,tporto@gmail.com,,1988/07/16,5456.5,null,no
kevin pereira,moraeslorenzo@ig.com.br,,23/06/2001,509.86,412-C,1
Ana Lívia Monteiro,cavalcantiheloisa@gmail.com,21,03/10/1947,R$ 37.86,null,1
Bryan Pinto,email_invalido@.com,35,20/01/1989,8282.9,604,yes
Igor da Mata,moraesheitor@teixeira.br,,1996-03-03,"372,43",752,
Maria Fernanda Lima,goncalvesotavio@hotmail.com,18,31-02-2023,R$ 549.54,,true
SR. MARCOS VINICIUS VIANA,joliveira@gmail.com,,31-02-2023,"536,2",,sim
Luiz Gustavo Santos,da-matarafaela@yahoo.com.br,,25/06/1946,R$ 996.81,242-J,true
Isaac Mendes,zda-mota@rodrigues.com,20,02/09/1980,"585,55",,não
DIEGO MENDES,ana-luiza44@souza.br,,31-02-2023,1495.62,null,false
Benício Sales,otavioporto@da.br,,1970-08-20,R$ 621.88,null,sim
Eloah Campos,osouza@ribeiro.com,,2015-06-22,"307,78",null,
Amanda Gomes,bruna82@das.com,51,24/02/1990,R$ 210.63,456,
Erick Da Cunha,isis76@uol.com.br,,1992/11/19,R$ 343.67,,não
benício barros,da-cruzmelissa@rocha.net,,1953/01/25,"532,44",378-C,sim
Dra. Maria Alice Porto,alvesmaria-eduarda@bol.com.br,,23/01/1936,R$ 136.19,null,yes
DR. KEVIN CASTRO,luiz-otaviofogaca@santos.org,43,1973-10-02,"948,5",136-W,yes
Dr. Gabriel Castro,enricosilveira@lima.br,27,1992-11-29,R$ 753.44,null,
Melissa Peixoto,souzaleandro@yahoo.com.br,,31-02-2023,R$ 432.49,null,0
Sra. Raquel Pinto,naraujo@bol.com.br,,1986/09/24,7988.12,,1
MARIA CECÍLIA MOREIRA,email_invalido@.com,,31-02-2023,R$ 363.86,474-E,0
bruno da cunha,vrezende@barbosa.br,23,24/08/2001,1751.3,596-A,yes
erick da cunha,joaquim46@ig.com.br,,1977-11-09,8704.53,,não
Sr. Lucas Barbosa,tcavalcanti@gmail.com,50,1978-09-04,7107.61,914,não
Giovanna Viana,diasraquel@cavalcanti.com,,12/06/1941,"253,12",517,0
andré da rosa,melissa07@yahoo.com.br,,24/08/1988,8964.71,908,false
matheus silveira,jbarros@yahoo.com.br,52,1999/06/03,"377,50",888-T,false
vicente ramos,joao-lucas14@fernandes.br,,06/05/1982,R$ 810.4,326,false
Maria Peixoto,ecorreia@lopes.net,54,18/10/2004,"501,55",369,
gabriel da cruz,email_invalido@.com,,2008-05-25,1392.82,428,não
SRA. HELENA DUARTE,email_invalido@.com,47,1981-12-05,"795,8",114-K,yes
vinicius silva,rochaluna@uol.com.br,,1992/08/13,R$ 967.8,711,yes
Bernardo Costa,email_invalido@.com,,1953/07/11,R$ 453.92,487-D,1
GUILHERME SILVEIRA,peixotoalexandre@monteiro.com,,07/09/1972,R$ 592.17,897-F,false
Lara Fernandes,sarah56@hotmail.com,,18/08/1937,R$ 389.78,,no
Lucca Cardoso,vieiradiogo@das.br,56,1992/08/14,7698.73,,sim
VITOR NOVAES,rda-cunha@gmail.com,,31-02-2023,"885,23",,
Nicole Pereira,maria-luiza94@gmail.com,52,09/11/1991,R$ 573.8,null,1
sr. andré da mata,gcaldeira@yahoo.com.br,,1975-02-24,"201,97",769,sim
GUSTAVO HENRIQUE DUARTE,lfogaca@almeida.com,60,31-02-2023,"467,17",null,sim
Sr. Matheus Freitas,ana-sophia89@uol.com.br,,1992-12-26,6493.59,494,
Maria Vitória Cardoso,heitor25@araujo.net,,10/05/1992,"702,44",772,não
Noah da Luz,da-mataana-carolina@teixeira.br,,2016-07-23,R$ 365.69,null,não
João Miguel Lopes,hfogaca@ig.com.br,,31-02-2023,R$ 873.76,,1
Vitor Das Neves,xoliveira@rezende.br,,31-02-2023,R$ 665.2,,sim
MARIA JULIA CAMPOS,vieiracamila@teixeira.org,,31-02-2023,"940,21",365,
Augusto Farias,ribeirothales@costela.com,,2003-08-19,R$ 562.55,,no
raquel cardoso,pcaldeira@yahoo.com.br,43,21/01/1935,R$ 982.57,,1
Enzo Gabriel Azevedo,goncalvesandre@rocha.br,,31-02-2023,6737.63,987-K,
Gustavo Henrique Da Mata,nascimentobreno@ig.com.br,,1998-08-17,R$ 712.98,,não
ALÍCIA ARAGÃO,icavalcanti@yahoo.com.br,29,07/01/1983,2673.98,null,1
camila da mata,alana80@da.net,,1991-05-19,R$ 287.7,549-E,yes
joão pedro rodrigues,email_invalido@.com,,1953/01/27,309.59,,yes
Pedro Henrique Souza,valentinapires@gmail.com,,1990/10/26,8925.42,660-L,
alexandre cunha,vcardoso@ferreira.com,,2018-05-17,R$ 886.35,476-T,0
DR. ARTHUR LOPES,duartepedro-miguel@ig.com.br,,1982/08/11,"659,99",753-H,false
felipe castro,fernandeskaique@caldeira.br,,1993/09/14,542.52,901,no
bruna teixeira,email_invalido@.com,,31-02-2023,"458,69",null,true
Milena Castro,goncalvesjoao-miguel@silva.com,,2011-09-27,R$ 21.12,,
pedro henrique da rocha,enzo-gabriel84@hotmail.com,,1937/04/30,"626,12",842-N,
SR. GUSTAVO MELO,pietro54@uol.com.br,31,31-02-2023,"97,83",null,0
Guilherme Da Mota,da-pazana@campos.br,32,2005-04-15,9319.78,762-Z,no
MAYSA GONÇALVES,email_invalido@.com,,1942/11/28,8638.32,null,1
Fernando Moreira,email_invalido@.com,,2000/02/12,1603.2,292-P,não
nathan viana,email_invalido@.com,26,31-02-2023,9454.99,null,no
Manuela da Cunha,zdas-neves@ig.com.br,,1996-02-04,"875,45",,false
Luigi Vieira,vda-cruz@bol.com.br,,31-02-2023,"198,22",,1
antônio caldeira,rcardoso@hotmail.com,,31-02-2023,"261,70",,false
GIOVANNA ALMEIDA,duartemaria-luiza@santos.com,53,1968/12/23,"73,9",,
Miguel Moura,email_invalido@.com,,31-02-2023,R$ 507.91,309,yes
emanuelly novaes,clima@yahoo.com.br,,2022-02-12,"876,51",,yes
Noah Gomes,milena74@jesus.com,,09/01/1951,R$ 956.26,,no
João Vitor Duarte,email_invalido@.com,,03/05/1957,7180.26,null,não
Sra. Sophia Peixoto,email_invalido@.com,64,2006/04/26,"553,90",,sim
Cecília Monteiro,emanuella39@yahoo.com.br,,31-02-2023,"792,40",null,1
Isabelly Souza,mrezende@uol.com.br,30,31-02-2023,"900,8",,sim
RAQUEL BARBOSA,email_invalido@.com,,10/12/1970,8222.73,222-L,true
Joana Moura,tmonteiro@ig.com.br,,07/10/2004,"205,14",null,0
YAGO SILVEIRA,bruna65@barros.br,53,1950/01/03,6517.71,,não
beatriz rezende,joao-gabriel93@yahoo.com.br,,2001-09-24,5307.22,,1
Sra. Alice Castro,yrocha@gmail.com,,31-02-2023,3043.41,,1
Yago Jesus,amoreira@cunha.br,43,12/01/1938,"861,78",null,yes
MARIA SOPHIA GOMES,omoura@barros.br,38,1957/06/26,101.95,null,
Manuela Oliveira,pintostella@ig.com.br,,31-02-2023,4770.27,,1
Daniela Azevedo,moreiramaria-sophia@ig.com.br,,1997-12-08,R$ 601.15,null,não
Pedro Henrique Azevedo,hlopes@yahoo.com.br,,31-02-2023,R$ 83.89,977-C,yes
clara da costa,rodriguesbenicio@rezende.net,,1981/06/05,1978.29,null,sim
marina viana,vcostela@da.br,,31-02-2023,"16,43",null,0
João Miguel da Mata,hcaldeira@gmail.com,,2008-09-08,"365,69",,não
catarina caldeira,salesjuan@silveira.net,68,1956/12/29,R$ 112.78,887-T,true
Srta. Cecília Castro,alvesjoao-vitor@gmail.com,,31-02-2023,"537,78",692-R,no
Maitê Carvalho,vcardoso@santos.br,,24/02/2006,"983,67",,false
ana carolina almeida,msantos@fogaca.com,24,31-02-2023,"284,27",915,
THALES DIAS,dferreira@gmail.com,,22/03/1944,9664.99,null,não
Noah Nunes,ferreiramarcela@sales.br,,31-02-2023,"776,86",null,true
Matheus Jesus,davi-luiz63@yahoo.com.br,38,2019-09-30,"565,64",null,yes
Lorenzo Carvalho,usouza@uol.com.br,,31-02-2023,"812,14",912-X,sim
Isis Nascimento,jpereira@da.org,,21/09/1955,6711.89,948-S,0
LORENZO ALVES,beatrizda-costa@bol.com.br,,27/07/1978,R$ 749.5,null,1
DRA. DANIELA ALVES,da-pazgustavo-henrique@ig.com.br,,31-02-2023,1169.64,779-T,não
Ana Luiza Rezende,leandro98@nascimento.com,,29/08/1939,R$ 540.5,,yes
benjamin jesus,tbarros@castro.com,,31/07/1950,"767,20",null,sim
Dra. Natália Rezende,wmelo@gmail.com,38,31-02-2023,874.3,,sim
RENAN OLIVEIRA,hpinto@hotmail.com,,1968/06/05,"415,78",,não
calebe peixoto,hcavalcanti@yahoo.com.br,,31-02-2023,R$ 963.72,742,true
Luiz Otávio Peixoto,esilveira@yahoo.com.br,,2014-02-10,R$ 581.72,212-A,1
sra. sabrina santos,palves@rezende.com,56,1949/10/21,R$ 848.62,387-P,false
isadora santos,joaquimda-mata@castro.net,,31-02-2023,"718,86",548-L,
nathan pires,marcelo19@yahoo.com.br,31,2010-03-21,923.38,471,false
Nina da Rocha,olivia37@nascimento.br,,28/01/2004,3216.83,842,true
Luiz Henrique Costela,bsilva@oliveira.org,,16/02/2003,5053.35,,false
ana souza,ramosenzo@gmail.com,,1988-09-07,R$ 839.94,505,não
gabriela da rosa,email_invalido@.com,,31-02-2023,"232,75",376,
Ana Lívia Campos,ana-julia31@gmail.com,34,1984/09/08,7443.3,,0
SR. EDUARDO MENDES,oliveiraluana@oliveira.com,,2025-03-06,R$ 350.86,259-X,no
PEDRO LUCAS FERREIRA,das-nevespietra@santos.org,58,1964/08/30,R$ 394.69,,false
joão silveira,da-motaalexia@almeida.br,20,31-02-2023,8224.31,438-J,false
Lívia Lima,pedro-miguelribeiro@viana.br,23,1991-08-08,"715,84",null,sim
Sr. Davi Freitas,maria-fernanda69@hotmail.com,,2003-03-07,6317.39,197,
alana freitas,esthersilveira@oliveira.br,,1983/05/18,R$ 260.53,,true
sr. diego da cunha,email_invalido@.com,,31-02-2023,R$ 245.65,401-H,sim
pedro miguel jesus,bnascimento@jesus.com,,1983-07-16,1101.1,237-F,false
BIANCA CUNHA,novaesana-sophia@uol.com.br,49,31-02-2023,R$ 61.33,821-R,0
Letícia Da Luz,da-luzvitor-hugo@lima.org,,2007/03/01,"929,32",755-G,true
Brenda Fogaça,silveiranina@barros.org,,1998-05-11,"893,19",288-T,0
luiza porto,vbarbosa@hotmail.com,,1977-04-06,R$ 291.87,,false
Thales Cunha,cavalcantigustavo-henrique@ig.com.br,,1997-06-22,R$ 965.97,,
valentina azevedo,ualves@yahoo.com.br,,1979-04-28,"239,86",,sim
Augusto Nunes,rochabryan@monteiro.com,22,1981-08-02,R$ 834.8,null,sim
Natália Castro,joanacorreia@da.br,43,31-02-2023,R$ 505.53,162,false
Luiz Gustavo Ferreira,portomaria-fernanda@da.br,18,31-02-2023,"518,0",,false
raquel silva,da-costaguilherme@carvalho.com,,2004-06-02,3179.8,449-U,1
Calebe Campos,fgoncalves@bol.com.br,,20/01/2004,1978.17,null,false
Pedro Henrique Araújo,pietracorreia@bol.com.br,,2017-11-04,5062.28,null,
breno ferreira,oliveirajuliana@barbosa.com,,31-02-2023,310.43,,1
Daniel Pereira,cardosoana-vitoria@silva.br,60,1939/07/10,R$ 612.86,null,0
DANILO BARBOSA,vianadaniel@uol.com.br,,1980/11/14,"23,47",968-R,0
heloísa dias,isaacrocha@yahoo.com.br,,31-02-2023,R$ 903.87,null,1
Rafaela da Rocha,heitor77@bol.com.br,,1994/08/08,R$ 803.75,873,sim
Dr. Davi Luiz Nogueira,almeidadiogo@bol.com.br,,31-02-2023,"287,86",,true
manuela cunha,raulda-conceicao@uol.com.br,,31-02-2023,"405,12",,no
DRA. CATARINA MELO,matheuscaldeira@moreira.br,,31-02-2023,R$ 659.87,536,no
